,Channel,Launched,Language,Category,SD/HD/4K Availability,Notes
0,Star Plus,1992,Hindi,General Entertainment,SD+HD,
1,Star Bharat,2017,Hindi,General Entertainment,SD+HD,Formerly Star One and Life OK
2,Star Utsav,2004,Hindi,General Entertainment,SD,
3,Star Utsav Movies,2016,Hindi,Movies,SD,
4,Star Gold,2000,Hindi,Movies,SD+HD,
5,Star Gold 2,2020,Hindi,Movies,SD+HD,"Formerly Movies OK, UTV HD"
6,Star Gold Select,2017,Hindi,Movies,SD+HD,
7,Star Gold Romance,2023,Hindi,Movies,SD,Formerly UTV Movies
8,Star Gold Thrills,2023,Hindi,Movies,SD,Formerly UTV Action
9,Bindass,2007,Hindi,Music,SD,
10,Star Sports 1 Hindi,2017,Hindi,Sports,SD+HD,Formerly Star Cricket
11,Star Sports First,2017,Hindi,Sports,SD,
12,Disney International HD,2017,English,General Entertainment,HD,
13,Star Movies,1991,English,Movies,SD+HD,
14,Star Movies Select,2015,English,Movies,SD+HD,
15,Star Sports 1,1996,English,Sports,SD+HD,
16,Star Sports 2,2013,English,Sports,SD+HD,
17,Star Sports 3,2018,English,Sports,SD,Replaced Channel V
18,Star Sports Select 1,2016,English,Sports,SD+HD,
19,Star Sports Select 2,2016,English,Sports,SD+HD,
20,Star Sports 4K,2024,English,Sports,4K,
21,Hungama TV,2004,"Hindi, Tamil, Telugu",Kids,SD,
22,Disney Channel,2004,"English, Hindi, Tamil, Telugu",Kids,SD+HD,
23,Disney Junior,2012,"English, Hindi, Tamil, Telugu",Kids,SD,
24,Super Hungama,2022,"English, Hindi, Tamil, Telugu",Kids,SD,"Formerly Toon Disney/ Jetix, Disney XD and Marvel HQ"
25,National Geographic,1998,"English, Hindi, Tamil, Bengali",Infotainment,SD+HD,
26,Nat Geo Wild,2009,"English, Hindi, Tamil, Bengali",Infotainment,SD+HD,
27,Star Life,2024,"English, Hindi, Tamil, Bengali",Lifestyle,SD+HD,Formerly Fox Life
28,Star Jalsha,2008,Bengali,General Entertainment,SD+HD,
29,Star Jalsha Movies,2012,Bengali,Movies,SD+HD,
30,Star Pravah,2008,Marathi,General Entertainment,SD+HD,
31,Star Pravah Picture,2022,Marathi,Movies,SD+HD,
32,Star Kiran,2022,Odia,General Entertainment,SD+HD,
33,Star Suvarna,2007,Kannada,General Entertainment,SD+HD,
34,Star Suvarna Plus,2013,Kannada,Movies,SD,
35,Star Sports 1 Kannada,2018,Kannada,Sports,SD,
36,Asianet,1993,Malayalam,General Entertainment,SD+HD,
37,Asianet Plus,2005,Malayalam,General Entertainment,SD,
38,Asianet Movies,2012,Malayalam,Movies,SD+HD,
39,Star Vijay,1994,Tamil,General Entertainment,SD+HD,
40,Star Vijay Super,2016,Tamil,Movies,SD+HD,
41,Star Vijay Takkar,2022,Tamil,Youth Entertainment,SD,Replaced Star Vijay Music
42,Star Sports 1 Tamil,2017,Tamil,Sports,SD+HD,
43,Star Maa,2002,Telugu,General Entertainment,SD+HD,
44,Star Maa Movies,2011,Telugu,Movies,SD+HD,
45,Star Maa Gold,2012,Telugu,Movies,SD,
46,Star Maa Music,2008,Telugu,Music,SD,
47,Star Sports 1 Telugu,2018,Telugu,Sports,SD+HD,
