,Channel,Launched,Defunct,Language,Category,SD/HD availability,Notes
0,Star One,2004,2011,Hindi,General Entertainment,SD,Replaced by Life OK
1,Life OK,2011,2017,Hindi,General Entertainment,SD+HD,Replaced by Star Bharat
2,Movies OK,2012,2020,Hindi,Movies,SD,Replaced by Star Gold 2
3,UTV Movies,2008,2023,Hindi,Movies,SD,Replaced by Star Gold Romance
4,UTV Action,2010,2023,Hindi,Movies,SD,Replaced by Star Gold Thrills
5,UTV HD,2018,2023,Hindi,Movies,HD,Rebranded as Star Gold 2 HD
6,Channel V,1994,2018,Hindi,Music,SD,Replaced by Star Sports 3
7,Star News,1998,2012,Hindi,News,SD,Sold & Rebranded as ABP News
8,Star World,1991,2023,English,General Entertainment,SD+HD,HD: Discontinued SD: replaced by Star Sports 1 Tamil HD[65]
9,FX,2010,2017,English,General Entertainment,SD+HD,HD: Star Sports First[65] SD: Star Sports Select 2 SD[65]
10,Fox Crime,2010,2015,English,General Entertainment,SD,replaced by Star Movies Select HD[65]
11,Star World Premiere,2011,2023,English,General Entertainment,HD,Replaced by Star Movies Select SD[65]
12,Star Movies Action,2013,2017,English,Movies,SD,Formerly Fox Action Movies  replaced by Star Gold Select SD[65]
13,Baby TV,2009,2023,English,Kids,SD+HD,
14,Star Cricket,2007,2013,English,Sports,SD+HD,"Replaced by Star Sports 3, Star Sports 1 Hindi"
15,Disney XD,2009,2019,"English, Hindi, Tamil, Telugu",Kids,SD,Rebranded As Marvel HQ
16,Marvel HQ,2019,2022,"English, Hindi, Tamil, Telugu",Kids,SD,Rebranded As Super Hungama
17,Nat Geo Music,2007,2019,"Hindi, English",Music,SD+HD,Replaced By Nat Geo Telugu
18,Star CJ Alive,2009,2015,"Hindi, English",Shopping,SD,Replaced as Shop CJ
19,Star Ananda,2005,2012,Bengali,News,SD,Sold & Rebranded as ABP Ananda
20,Star Sports 1 Bangla,2019,2023,Bengali,Sports,SD,Discontinued
21,Star Sports 1 Marathi,2019,2023,Marathi,Sports,SD,Discontinued
22,Star Majha,2007,2012,Marathi,News,SD,Sold & Rebranded as ABP Majha
23,Star Vijay Music,2020,2022,Tamil,Music,SD,Replaced by Star Vijay Takkar
24,Nat Geo Tamil,2019,2020,Tamil,Infotainment,SD,Discontinued
25,Nat Geo Telugu,2019,2020,Telugu,Infotainment,SD,Discontinued
26,Fox Life,2014,2024,"English, Hindi",Infotainment,SD+HD,Replaced by Star Life
